ID,PERSONNEL_ID,DESIGN_ELEMENT_ID,ROLE_ID,PACKAGE_ID,ASSIGNED_AT,UNASSIGNED_AT
c2dcbdfe-c693-45cb-9c27-c3be158ef3ec,734c8f76-f34a-4d58-8d25-3e4e6b372612,3c38aa76-69dc-4eda-b250-1692744752fd,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
b3307432-1883-4789-ba58-85f04f80a4dd,734c8f76-f34a-4d58-8d25-3e4e6b372612,4e707099-448c-4b59-b37d-f4384012004a,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
8647a0c7-ef9c-4899-aa86-55a782e81f3e,734c8f76-f34a-4d58-8d25-3e4e6b372612,52329e93-4508-42c4-8ce1-2acca32d1731,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
45a073f0-d361-4ba5-882e-2a353cd6dd12,734c8f76-f34a-4d58-8d25-3e4e6b372612,694fc529-569a-4af1-9335-c170366e53a5,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
c602700c-4429-4917-b129-01a3d1ca4687,734c8f76-f34a-4d58-8d25-3e4e6b372612,81836b07-357f-4ea0-972f-5c588682f8a8,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
d9596b2a-d297-423f-b471-9604ad1fc48c,734c8f76-f34a-4d58-8d25-3e4e6b372612,83c99100-c4cf-40ec-832b-b569889a071d,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
addac47f-3f1e-4923-b1de-f4ec364048ec,734c8f76-f34a-4d58-8d25-3e4e6b372612,8571d3dc-8f4b-44ee-8222-475aadec5d2e,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
ef1416cf-78d2-4d1e-afa4-899bd20cda0f,734c8f76-f34a-4d58-8d25-3e4e6b372612,87e37798-3a15-4ba6-93f3-76c9fc5cc816,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
8164e419-9435-4c29-ac77-72604eb097ca,734c8f76-f34a-4d58-8d25-3e4e6b372612,87eee04e-bffc-48d8-bc02-5f76b2451135,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
2fdcb20c-38e0-4f89-a1fc-5f9b3aa031ab,734c8f76-f34a-4d58-8d25-3e4e6b372612,938c3032-8d91-4dac-927b-5d647b36ebd8,b72e5169-9fea-4a99-9693-16cd4f8380f3,4e7da483-ec21-42f8-8891-5b90e5bcf41c,2025-10-26T16:02:06.171Z,
