ID,INSPECTION_POINT_ID,CHECKLIST_ID
7048adbe-b643-40ad-a7cd-09f3be94b104,19cdc7ca-46b5-4761-85b8-ce09e7eca2bc,1184710d-29b7-4930-a4f9-60c4fd56d4bc
439298d8-2fff-4879-8146-a43242aa1a28,34596512-be40-4596-87cb-274eacf0c12c,ecc6bbce-a8cb-4e80-9beb-6c72024ff3c2
ee2755ce-40dd-42fd-b4e2-98d16f9e2300,5aa8ef71-7153-48ca-8467-c187ea0a5ab8,33261db7-0255-494b-a0ab-fdeda3c0333e
ef156e3a-7dbb-479e-bbd8-195ecde6cf17,db494897-3207-4f23-88df-56b15c92481b,1184710d-29b7-4930-a4f9-60c4fd56d4bc
37a757cf-fec3-465a-86c4-e389c072f7b0,8f91e13c-b3bd-45c8-a8f8-a56bbd4f82dd,83982cb5-067e-422e-bedd-d0eb2bd543cb
14745fd9-6e59-44c6-a4c0-3c033ca9fa94,f9ee2d8f-c639-4a02-b005-94f6ff4242b8,ecc6bbce-a8cb-4e80-9beb-6c72024ff3c2
a1600d26-f2d7-4646-8033-131d308d0417,64d20586-10a2-402c-949a-b1bd104f1909,33261db7-0255-494b-a0ab-fdeda3c0333e
07b6fe44-d90f-4f36-87d3-4557a015007d,c9f74e46-0722-406b-ad3b-ba3732a78a44,1184710d-29b7-4930-a4f9-60c4fd56d4bc
8e0fd6a2-e38c-495a-8050-37d5505c8781,2f69db24-215b-48fe-a042-6dd1acfa2817,83982cb5-067e-422e-bedd-d0eb2bd543cb
1c82a492-b4cc-4e82-83eb-56f3501e228c,a86247eb-7c90-41ed-96d1-03c5950be636,ecc6bbce-a8cb-4e80-9beb-6c72024ff3c2
c0e3c656-cfc4-431f-84d3-256ad7bd0ba9,190d1aeb-37c6-422e-959d-111cdf99f713,33261db7-0255-494b-a0ab-fdeda3c0333e
c1ad681b-539c-4336-a5cc-cbda847be507,e3dd0534-e7f8-4199-8a02-71687ffd6579,1184710d-29b7-4930-a4f9-60c4fd56d4bc
6515cefb-a52b-45c0-9080-25eb3fcced6c,243a608a-225e-4637-985f-58b0a74fd454,07a0f8c5-0add-4ab8-9afa-e78ba536cfeb
4cdfb55b-1b30-4f23-b943-c48aee7b8801,259d8c5f-0ba5-4252-b6fb-81894e12d827,83982cb5-067e-422e-bedd-d0eb2bd543cb
8e01a9c2-952d-4334-8a1f-986f27a5a002,10b1a0b4-88be-4f6e-99f9-ccedd8afb80b,ecc6bbce-a8cb-4e80-9beb-6c72024ff3c2
b5dca9f1-6269-44f3-8088-0a3a88050ce7,9f7a67eb-7dd8-4724-982f-b339e7e72a7d,33261db7-0255-494b-a0ab-fdeda3c0333e
ac701043-f84b-42e7-9c5a-9b40894191d2,45eab59c-3f99-4518-8ded-0ca957b0566c,ecc6bbce-a8cb-4e80-9beb-6c72024ff3c2
c5019023-876e-4107-a26f-a5007bd31a32,d185d578-94c6-4b50-be18-92d5789cb5a2,33261db7-0255-494b-a0ab-fdeda3c0333e
94f0e834-fc84-46c4-99b1-8912c1ba7df0,fa7c344c-c158-4a9e-8e99-73c92544b74b,ecc6bbce-a8cb-4e80-9beb-6c72024ff3c2
1fca8dbb-bce3-47d0-bac0-fadb70814438,ce7af608-191f-41cd-a000-93f4c6ee139e,33261db7-0255-494b-a0ab-fdeda3c0333e
2e52e806-bbf0-4cb0-9613-11c40941e858,c78f2d85-1022-45dc-b525-f37c9b25fb34,33261db7-0255-494b-a0ab-fdeda3c0333e
b5caf335-fabd-4056-ab6b-27bf2e6b6f45,c9ebc490-5c04-4d13-9452-de45ccd8d2b3,1184710d-29b7-4930-a4f9-60c4fd56d4bc
0902728d-b3dd-4f0a-ba17-a1848d9ecdb8,63d6d4d7-8178-4ca1-96ed-cb5ed0e960fd,83982cb5-067e-422e-bedd-d0eb2bd543cb
e5881c6a-9d00-4fd4-a9e9-060066719db1,7ec04b7b-6fe4-45fb-a457-dc84ea51b135,ecc6bbce-a8cb-4e80-9beb-6c72024ff3c2
5ad11f17-0b8e-4330-9dca-11218cc91b2a,45d9774b-2339-452b-a97d-55663add6fb0,33261db7-0255-494b-a0ab-fdeda3c0333e
f2e0cdcc-321c-4082-9a03-a48299e8d54c,392f9b3c-e012-41c9-9840-21775cf26213,ecc6bbce-a8cb-4e80-9beb-6c72024ff3c2
9942964d-98c5-448d-8861-3df2c2a05946,4215ba40-e207-46c2-bb30-a6e0bce98c79,33261db7-0255-494b-a0ab-fdeda3c0333e
